"" ,"max_rotation" ,"max_translation"
"sp0167" ,0.162749776288030 ,0.238895416259766
"sp0170" ,0.354073473237310 ,0.354755401611328
"sp0171" ,2.568671433745276 ,1.398208618164061
"sp0172" ,0.168725071829814 ,0.087200164794922
"sp0173" ,26.112678524596280 ,39.969635009765597
"sp0174" ,87.416784473671385 ,102.149015426635799
"sp0175" ,94.845590971335625 ,154.605613708496492
"sp0177" ,6.695289736613215 ,19.140506744384759
"sp0178" ,23.600200006734319 ,32.691722869872997
"sp0179" ,20.285899079611585 ,30.669042587280302
"sp0181" ,7.968593059759943 ,22.994079589843800
"sp0182" ,7.894548377412901 ,13.573478698730471
"sp0183" ,115.407623217687217 ,135.448304653167469
"sp0195" ,1.840856025417356 ,2.902406692504884
"sp0196" ,0.328230862221443 ,0.302759170532227
"sp0197" ,0.645180586965362 ,0.602241039276123
"sp0198" ,6.229591757805322 ,3.989043235778808
"sp0203" ,0.228273528921507 ,0.104267120361328
"sp0204" ,18.102082714342146 ,22.940736770629911
"sp0206" ,24.005785814154713 ,29.705669403076200
"sp0207" ,3.441384835718176 ,10.747318267822259
"sp0209" ,11.455409274919848 ,5.998037338256839
"sp0210" ,15.156900346127628 ,20.404087066650391
"sp0211" ,16.500074454988514 ,33.620719909667997
"sp0238" ,1.749192216655441 ,2.723845481872555
"sp0241" ,44.223273820612555 ,63.785060882568402
"sp0242" ,0.158144972592576 ,0.181074738502502
"sp0246" ,0.440138716017309 ,0.304843544960022
"sp0251" ,3.677318884870783 ,6.124629974365280
"sp0255" ,0.332958991423613 ,0.243040084838867
"sp0269" ,9.641139147264504 ,4.892852783203120
"sp0270" ,9.143666085879850 ,12.048923492431651
"sp0271" ,12.122778813521645 ,20.245761871337919
"sp0275" ,26.735160694920793 ,36.914829254150398
"sp0276" ,22.280708721265391 ,39.414234161376896
"sp0281" ,0.117567461704931 ,0.116393566131592
"sp0282" ,1.189108843348711 ,0.757193565368652
"sp0283" ,0.168369622290085 ,0.205488204956055
"sp0284" ,0.418175440655097 ,0.847061157226562
"sp0285" ,0.396358711836630 ,0.466811180114746
"sp0286" ,0.551056231748038 ,0.592126846313476
"sp0287" ,19.221988272545875 ,41.815671920776396
"sp0288" ,0.758570291312897 ,1.158123016357418
"sp0293" ,2.310405521523779 ,2.021659851074218
"sp0297" ,39.186663768260345 ,50.682281494140597
"sp0298" ,7.255661206640336 ,25.209201812744119
"sp0299" ,74.969083700268129 ,114.611541748046903
"sp0302" ,74.861223322566701 ,109.408169746398613
"sp0310" ,0.208878888352424 ,0.364730656147003
"sp0315" ,29.240314828758756 ,45.537509918212905
"sp0316" ,24.637046909506786 ,29.208209991455099
"sp0321" ,0.058423722993582 ,0.109364509582520
"sp0329" ,9.728057204787428 ,17.047204971313480
"sp0335" ,10.686624804765501 ,10.084796905517580
"sp0341" ,60.064059115885989 ,40.902770042419505
"sp0343" ,46.029504960037471 ,59.493516921997042
"sp0360" ,19.035911876055383 ,5.628342628479007
"sp0364" ,6.060704053950653 ,16.741172790527340
"sp0365" ,24.949528797830766 ,29.216661453247049
"sp0366" ,4.160865302177058 ,16.125198364257820
"sp0368" ,0.792797164411406 ,0.765125989913940
"sp0372" ,0.975934687334401 ,0.598609924316407
"sp0373" ,0.901945189445878 ,0.969583511352534
"sp0383" ,3.547042261906715 ,15.920803070068359
"sp0392" ,0.269303226639002 ,0.391761779785156
"sp0393" ,0.088969797422826 ,0.109277725219727
"sp0394" ,1.519310523169286 ,0.454820632934570
"sp0395" ,79.722819129102888 ,111.240680694579922
"sp0406" ,1.237402919716763 ,1.457180023193359
"sp0409" ,0.065541023526996 ,0.121135711669922
"sp0410" ,0.086255284516157 ,0.093206405639649
"sp0411" ,10.660946508073973 ,16.803124427795410
"sp0412" ,18.163758034520264 ,32.628278732299904
"sp0416" ,4.866512409390253 ,3.153888702392580
"sp0427" ,17.362652674304350 ,23.211414337158200
"sp0428" ,8.561098518065453 ,18.161478042602539
"sp0431" ,8.632514667539684 ,5.845277786254890
"sp0432" ,8.191806795082464 ,11.060503482818611
"sp0433" ,3.738756314283005 ,12.683541297912591
"sp0434" ,5.973517350105962 ,6.867990493774411
"sp0437" ,0.846733245707095 ,2.093399047851561
"sp0438" ,10.219632817813523 ,16.540277481079102
"sp0449" ,3.316541518888576 ,1.547012090682982
"sp0451" ,8.618117585789133 ,27.791379928588903
"sp0452" ,0.700593015181732 ,0.333611488342285
"sp0453" ,49.907756714575157 ,70.661232471466036
