"" ,"perc_overlap_mask" ,"xcorr_vol"
"sp0470" ,1.000000000000000 ,1.000000000000000
"sp0473" ,1.000000000000000 ,1.000000000000000
"sp0474" ,1.000000000000000 ,1.000000000000000
"sp0479" ,1.000000000000000 ,1.000000000000000
"sp0481" ,1.000000000000000 ,1.000000000000000
"sp0482" ,1.000000000000000 ,1.000000000000000
"sp0485" ,1.000000000000000 ,1.000000000000000
"sp0486" ,1.000000000000000 ,1.000000000000000
"sp0504" ,1.000000000000000 ,1.000000000000000
"sp0511" ,1.000000000000000 ,1.000000000000000
"sp0513" ,1.000000000000000 ,1.000000000000000
"sp0514" ,1.000000000000000 ,1.000000000000000
"sp0519" ,1.000000000000000 ,1.000000000000000
"sp0521" ,1.000000000000000 ,1.000000000000000
"sp0526" ,1.000000000000000 ,1.000000000000000
"sp0527" ,1.000000000000000 ,1.000000000000000
"sp0530" ,1.000000000000000 ,1.000000000000000
"sp0531" ,1.000000000000000 ,1.000000000000000
"sp0532" ,1.000000000000000 ,1.000000000000000
"sp0533" ,1.000000000000000 ,1.000000000000000
"sp0536" ,1.000000000000000 ,1.000000000000000
"sp0539" ,1.000000000000000 ,1.000000000000000
"sp0543" ,1.000000000000000 ,1.000000000000000
"sp0548" ,1.000000000000000 ,1.000000000000000
"sp0555" ,1.000000000000000 ,1.000000000000000
"sp0556" ,1.000000000000000 ,1.000000000000000
"sp0557" ,1.000000000000000 ,1.000000000000000
"sp0560" ,1.000000000000000 ,1.000000000000000
"sp0561" ,1.000000000000000 ,1.000000000000000
"sp0562" ,1.000000000000000 ,1.000000000000000
"sp0566" ,0.886942803859711 ,0.896777153015137
"sp0572" ,1.000000000000000 ,1.000000000000000
"sp0573" ,1.000000000000000 ,1.000000000000000
"sp0574" ,1.000000000000000 ,1.000000000000000
"sp0576" ,1.000000000000000 ,1.000000000000000
"sp0577" ,1.000000000000000 ,1.000000000000000
"sp0580" ,1.000000000000000 ,1.000000000000000
"sp0584" ,1.000000000000000 ,1.000000000000000
"sp0585" ,1.000000000000000 ,1.000000000000000
