"" ,"frames_scrubbed" ,"frames_OK" ,"FD" ,"FD_scrubbed"
"sp0392_sess1_rest1" ,10.000000000000000 ,290.000000000000000 ,0.112246096532879 ,0.106753803351346
"sp0393_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.084546963924100 ,0.084546963924100
"sp0394_sess1_rest1" ,22.000000000000000 ,134.000000000000000 ,0.239074270504258 ,0.189225613936588
"sp0395_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,91.290109306874896 ,106.191505622863772
"sp0406_sess1_rest1" ,96.000000000000000 ,60.000000000000000 ,0.484320497873329 ,0.248120477833485
"sp0409_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.093367797711920 ,0.093367797711920
"sp0410_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.079780976587041 ,0.079780976587041
"sp0411_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.537944369845921 ,25.257201051712038
"sp0412_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,64.719996558295350 ,64.575088024139404
"sp0416_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,11.188453385324189 ,11.465130352973938
"sp0427_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,59.362686041629672 ,55.791888427734378
"sp0428_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,29.444227430555557 ,29.887391757965087
"sp0431_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,13.319500133244679 ,14.085228204727173
"sp0432_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,19.793074232159238 ,19.941389274597167
"sp0433_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,16.094836726333156 ,16.320367765426635
"sp0434_sess1_rest1" ,116.000000000000000 ,40.000000000000000 ,1.731857131085088 ,1.100671976613693
"sp0437_sess1_rest1" ,48.000000000000000 ,252.000000000000000 ,0.188420252930560 ,0.144590192637037
"sp0437_sess1_rest2" ,60.000000000000000 ,240.000000000000000 ,0.293967167532265 ,0.160975569383744
"sp0438_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.419658622356376 ,24.220592689514159
"sp0449_sess1_rest1" ,70.000000000000000 ,86.000000000000000 ,0.450657573558631 ,0.193293900787830
"sp0451_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,36.920568389121932 ,36.667827653884885
"sp0452_sess1_rest1" ,26.000000000000000 ,130.000000000000000 ,0.247531476688962 ,0.218702393913498
"sp0453_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,123.000701287780146 ,124.504270744323733
"sp0454_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,10.283372956092911 ,10.262950515747070
"sp0456_sess1_rest1" ,31.000000000000000 ,125.000000000000000 ,0.241619690315377 ,0.206492662519938
"sp0464_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,18.441683932988330 ,18.218907403945924
"sp0466_sess1_rest1" ,4.000000000000000 ,152.000000000000000 ,0.123357571457182 ,0.116964859715262
